股票,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
威创股份,0,0,0,0,0,0,2,3,0,10,7,4
中利科技,6,0,0,2,3,4,5,5,1,2,2,1
海大集团,12,5,1,10,0,0,6,0,1,2,8,12
三泰控股,3,6,7,6,9,2,4,2,2,0,0,0
南山控股,0,0,1,0,0,0,0,0,0,0,0,0
焦点科技,5,0,2,0,1,0,1,0,0,0,0,0
众生药业,7,0,1,1,5,0,2,0,0,0,3,2
久立特材,2,1,0,3,6,2,4,2,2,0,3,6
乐通股份,0,0,0,0,0,0,0,0,0,0,0,0
华英农业,5,0,2,1,4,1,2,0,1,6,4,2
理工环科,3,0,1,0,1,1,2,3,1,3,3,7
雅百特,0,0,0,2,1,1,1,3,1,0,3,5
普利特,3,0,1,2,2,1,3,1,0,1,0,5
洪涛股份,6,0,0,0,1,3,1,5,1,0,4,4
永太科技,4,6,2,3,1,0,1,0,0,0,0,0
富安娜,18,7,2,2,12,2,8,1,0,0,3,2
新朋股份,0,0,0,0,0,0,0,1,0,0,0,0
皇氏集团,0,4,4,0,4,0,3,2,5,2,6,10
得利斯,2,0,1,0,0,0,0,2,0,0,0,0
皖通科技,1,0,2,0,1,0,0,0,0,0,0,0
仙琚制药,1,0,0,0,0,0,0,0,1,0,0,2
罗普斯金,2,1,0,0,1,0,0,0,0,0,0,0
英威腾,3,0,1,2,2,0,1,0,1,0,0,5
科华恒盛,6,2,0,1,1,2,3,2,2,4,3,8
赛象科技,0,1,0,0,0,0,0,0,0,0,0,0
奥普光电,0,0,0,0,0,0,0,0,0,1,0,0
积成电子,4,3,7,1,3,0,1,1,0,1,0,0
格林美,3,0,0,4,1,1,4,4,0,1,0,1
新纶科技,2,0,0,0,1,0,0,0,1,1,7,2
巨力索具,0,0,0,0,0,0,0,0,0,1,0,0
慈文传媒,3,0,0,3,0,1,4,8,0,0,2,0
海宁皮城,7,9,0,3,7,0,5,0,3,1,3,1
泰尔重工,0,0,1,0,0,0,0,1,1,0,1,0
高乐股份,0,1,1,0,0,0,0,3,0,1,0,0
北京科锐,2,1,1,0,3,1,1,0,0,0,0,0
漫步者,0,2,2,0,2,1,0,1,0,0,0,0
鼎泰新材,0,0,0,0,0,0,0,0,0,0,0,0
杰瑞股份,7,0,0,0,2,0,1,2,0,0,0,1
天神娱乐,5,0,0,1,3,0,8,1,0,0,0,3
兴民钢圈,0,0,0,0,1,0,0,2,1,2,1,1
浩宁达,0,0,0,0,0,0,0,0,0,0,0,0
富临运业,0,0,0,0,1,0,0,0,0,0,1,0
森源电气,10,0,10,4,0,0,0,1,0,0,0,0
齐星铁塔,0,0,0,0,0,0,0,0,0,0,0,0
同德化工,0,0,0,0,0,0,0,0,0,0,0,0
