szr2,media.su,media.ft,zongher2,su.xuni,gongju,guba
0.195575,0,4,0.2938,0,40.38,0.032005778
0.479889,2,3,0.7181,1,41.85,0.009514407
0.489173,0,2,0.6537,0,41.85,0.013082319
0.560055,0,7,0.6127,0,41.85,0.011329459
0.301081,0,2,0.342,0,56.91,0.009936303
0.654101,0,2,0.3995,0,56.91,0.009580833
0.479927,0,3,0.5292,0,56.91,0.011964844
0.604844,0,1,0.5742,0,55.99,0.017627687
0.782472,0,2,0.6214,0,55.99,0.016363203
0.851044,0,3,0.6154,0,55.99,0.012737807
0.78637,0,3,0.5827,0,68.3,0.011218437
0.535975,0,1,0.4965,0,68.3,0.00678344
0.211014,0,2,0.2938,0,68.3,0.00837033
0.67724,0,1,0.7181,0,69.06,0.007531168
0.826159,0,2,0.6537,0,69.06,0.012476648
0.738412,0,2,0.6127,0,69.06,0.014570054
0.098622,1,4,0.342,1,55.6,0.013884512
0.360454,0,1,0.3995,0,55.6,0.007499127
0.513279,0,6,0.5292,0,55.6,0.011334767
0.639847,0,0,0.5742,0,55.98,0.017213692
0.721339,0,2,0.6214,0,55.98,0.033903868
0.854806,0,1,0.6154,0,55.98,0.027429015
0.74605,0,1,0.5827,0,54.96,0.013341377
0.354316,0,4,0.4965,0,54.96,0.021151758
0.237222,0,9,0.2938,0,54.96,0.034547577
0.872471,2,3,0.7181,1,54.72,0.008451248
0.742845,1,3,0.6537,1,54.72,0.009191611
0.6316,2,6,0.6127,1,54.72,0.03093065
0.412091,0,3,0.342,0,57.57,0.006466219
0.299249,0,0,0.3995,0,57.57,0.002198759
0.411198,0,0,0.5292,0,57.57,0.003926726
0.860691,0,0,0.5742,0,57.17,0.003315783
0.808443,0,1,0.6214,0,57.17,0.007269387
0.87788,0,1,0.6154,0,57.17,0.00852462
0.513193,0,3,0.5827,0,57.09,0.023401444
0.442685,0,4,0.4965,0,57.09,0.034868711
0.102465,0,1,0.2938,0,57.09,0.002715858
0.789858,1,4,0.7181,1,56.24,0.002528641
0.600214,0,2,0.6537,0,56.24,0.01077899
0.526095,0,2,0.6127,0,56.24,0.091845647
NA,0,14,0.342,0,84.2,0.034472035
0.469526,2,17,0.3995,1,84.2,0.025880335
